intervention_type,magnitude,hmm_percentage,wait_percentage,combined_percentage
backtracking,0,0.48371346286398176,0.0,0.48371346286398176
backtracking,1,0.4432631754009959,0.0,0.4432631754009959
backtracking,2,0.5136153921224241,0.0819672131147541,0.5955826052371782
backtracking,4,0.6890521151796373,1.0651360391993534,1.7541881543789906
backtracking,6,0.921987349214439,2.3645804740769476,3.286567823291387
backtracking,8,1.0070326973226191,6.534762948914259,7.541795646236878
backtracking,10,1.9406785542133864,7.675130271047797,9.615808825261183
backtracking,12,10.136974359331337,10.179143821737924,20.31611818106926
backtracking,14,6.7885521867048935,6.602514982596626,13.391067169301518
backtracking,16,10.055874791436228,1.6973979184011938,11.753272709837422
backtracking,20,0.0,0.12048192771084339,0.12048192771084339
backtracking,25,0.0,0.0,0.0
deduction,0,0.48371346286398176,0.0,0.48371346286398176
deduction,1,0.5081214367527711,0.0,0.5081214367527711
deduction,2,0.4442995228876863,0.0,0.4442995228876863
deduction,4,0.5121998596871394,0.05617977528089888,0.5683796349680383
deduction,6,0.14148585141485853,0.0684931506849315,0.20997900209979004
deduction,8,0.0,0.0,0.0
deduction,10,0.0,0.0,0.0
deduction,12,0.0,0.0,0.0
deduction,14,0.0,0.0,0.0
deduction,16,0.0,0.0,0.0
deduction,20,0.0,0.0,0.0
deduction,25,0.0,0.0,0.0
initializing,0,0.48371346286398176,0.0,0.48371346286398176
initializing,1,0.5773214010836027,0.0,0.5773214010836027
initializing,2,0.6175220819326834,0.0,0.6175220819326834
initializing,4,0.7628025259906323,0.0813008130081301,0.8441033389987623
initializing,6,0.25610911270983217,0.0,0.25610911270983217
initializing,8,0.0,0.14391468654552986,0.14391468654552986
initializing,10,0.0,0.0,0.0
initializing,12,0.0,0.0,0.0
initializing,14,0.0,0.0,0.0
initializing,16,0.0,0.0,0.0
initializing,20,0.0,0.0,0.0
initializing,25,0.0,0.0,0.0
noise,0,0.48371346286398176,0.0,0.48371346286398176
noise,1,0.43970473688655076,0.0,0.43970473688655076
noise,2,0.5136952789636344,0.0,0.5136952789636344
noise,4,0.5577991838277523,0.0,0.5577991838277523
noise,6,0.45595531574804476,0.08403361344537816,0.5399889291934229
noise,8,0.6907882045476128,0.14821272885789014,0.839000933405503
noise,10,0.978939001104701,0.4752095955963572,1.4541485967010583
noise,12,1.12456724281902,1.5820819488588769,2.706649191677897
noise,14,1.0200213166641838,2.0569958147304583,3.0770171313946424
noise,16,0.6447681029746068,2.4178464632017063,3.062614566176313
noise,20,0.08928571428571427,1.8256530836520426,1.9149387979377568
noise,25,0.0,0.8812056279955034,0.8812056279955034
overall_mean,0,0.48371346286398176,0.0,0.48371346286398176
overall_mean,1,0.5116946549405869,0.0,0.5116946549405869
overall_mean,2,0.6056423190698966,0.0813008130081301,0.6869431320780267
overall_mean,4,0.552623379876364,0.36379904631518833,0.9164224261915523
overall_mean,6,0.5283328171810359,0.51964001744346,1.0479728346244959
overall_mean,8,0.4454690484551983,0.6032276777455036,1.0486967262007019
overall_mean,10,0.15748031496062992,0.0,0.15748031496062992
overall_mean,12,0.0,0.0,0.0
overall_mean,14,0.0,0.0,0.0
overall_mean,16,0.0,0.0,0.0
overall_mean,20,0.0,0.0,0.0
overall_mean,25,0.0,0.0,0.0
self,0,0.48371346286398176,0.0,0.48371346286398176
self,1,0.45481597221005626,0.0819672131147541,0.5367831853248104
self,2,0.5096196258564072,0.0,0.5096196258564072
self,4,0.43772838559766303,0.0,0.43772838559766303
self,6,0.6100877132277812,0.15,0.7600877132277812
self,8,0.7499769273043608,0.0813008130081301,0.8312777403124909
self,10,0.8345556118000564,0.05649717514124294,0.8910527869412994
self,12,0.7330928505653607,0.19119092289823997,0.9242837734636007
self,14,0.7161106017039158,0.4138672188006896,1.1299778205046054
self,16,0.7156054923543145,0.4439857858277298,1.1595912781820443
self,20,0.4216442565709106,0.3811212987823079,0.8027655553532185
self,25,0.40066983997114203,0.46089236253381866,0.8615622025049607
